id,price,accommodates,bedrooms,beds,review_scores_rating,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_experience,is_professional_host,is_entire_home_apt,is_private_room,is_shared_room,is_hotel_room,is_pankow,is_neukoelln,is_mitte,is_friedrichshain_kreuzberg,is_charlottenburg_wilm,is_tempelhof_schoeneberg,is_lichtenberg,is_steglitz_zehlendorf,is_treptow_koepenick,is_reinickendorf,is_marzahn_hellersdorf,is_spandau,dist_brandenburger_tor,dist_alexanderplatz,dist_reichstagsgebaeude,dist_potsdamer_platz,dist_siegessaeule,dist_tiergarten,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_washer,has_dryer,has_heating,has_tv,has_dishwasher,has_refrigerator,has_microwave,has_coffee_maker,has_hot_water,has_smoke_alarm,has_essentials,has_hair_dryer,has_iron,has_bed_linens,has_shampoo,has_free_washer,bathrooms,property_entire_rental_unit,property_private_room_in_rental_unit,property_entire_condo,property_entire_serviced_apartment,property_room_in_hotel,property_private_room_in_condo,property_entire_loft,property_private_room_in_home,property_entire_home,property_private_room_in_bed_and_breakfast,property_private_room_in_hostel,property_entire_guesthouse,property_room_in_boutique_hotel,property_shared_room_in_hostel,property_room_in_aparthotel,property_other,bedroom_density,beds_per_person,bathrooms_per_person,total_rooms,avg_dist_to_landmark,review_score_std,min_dist_to_landmark,total_amenities
37581746,37.0,2,1.0,1.0,4.9,756,4.93,4.92,4.94,4.88,4.67,4.93,3199.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.984301961349001,8.986999783267658,7.707682063012472,8.640898915864593,7.40086380920003,8.055809409583834,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,8.129425990379596,0.09546876826630643,7.40086380920003,11
37582237,47.0,2,1.0,1.0,4.0,1,4.0,2.0,4.0,3.0,4.0,2.0,4321.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.804210714274763,5.602800050408493,6.610508805476092,7.560030364033467,7.90646207414115,8.084136092471388,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,7.094691350134227,0.9511897312113419,5.602800050408493,10
37613974,67.0,1,1.0,1.0,4.2,5,4.2,4.2,4.2,4.2,3.8,4.0,3662.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.804260957577473,15.052263297488771,16.644270275123464,17.508223037474632,18.04859094561509,18.183469617212864,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,17.04017968841538,0.15735915849388876,15.052263297488771,8
37616627,76.0,2,1.0,1.0,4.33,236,4.42,4.51,4.56,4.36,4.69,4.29,2255.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6905558708534905,2.2550351202571197,3.559456943370295,4.374393123365239,5.182649548293859,5.157519025116332,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,2.0,4.036601605209389,0.14276187299469134,2.2550351202571197,11
37682703,65.0,1,1.0,1.0,4.82,17,4.88,4.71,4.88,4.94,4.82,4.53,3175.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.585514146680401,4.142196071234146,5.8032299817963695,5.320510136113157,7.211103702666017,6.583509962662185,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,5.774344000192046,0.13792682670100664,4.142196071234146,11
37696328,101.0,5,2.0,4.0,4.52,25,4.68,4.24,4.44,4.76,4.56,4.48,2235.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.926521836308876,3.8895625338476623,5.834571215019448,6.530436904201003,7.525209056493753,7.448550365608072,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.2,3.0,6.1924753185798025,0.16880532602746282,3.8895625338476623,9
37703913,96.0,2,0.0,1.0,4.84,153,4.88,4.84,4.92,4.88,4.86,4.69,2235.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3607427277459134,5.123540560737627,3.583983616497379,2.589524268679859,3.144346647483891,2.520520224022393,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,1.0,3.38710967419451,0.07345228447936847,2.520520224022393,11
37709280,46.0,4,1.0,4.0,4.91,125,4.9,4.8,4.96,4.97,4.74,4.8,2416.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.27182821568723,9.17753527701819,10.056823977138691,11.04731977601995,11.161427026266198,11.43689320691324,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,1.0,0.25,2.0,10.525304579840583,0.08877472827867387,9.17753527701819,11
37734165,256.0,8,4.0,4.0,4.86,270,4.89,4.79,4.92,4.88,4.56,4.75,2234.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7906475798279367,3.5686618072166434,2.517086385011278,3.563606874135719,3.2601936981701782,3.5930342076496524,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,6.0,3.2155384253352346,0.1240583580033051,2.517086385011278,12
37737152,157.0,4,0.0,3.0,4.86,174,4.87,4.86,4.57,4.68,4.82,4.69,2274.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.7651068631568525,2.5606780611579754,1.515645251780831,2.5583842954147227,2.777099111684731,2.8968055726406488,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.75,0.25,1.0,2.3456198593059603,0.11759494644146677,1.515645251780831,11
